index;Provincia;Municipio;Direccion;Estacion;FECHA-HORA;CO;NO2;O3;PART;SO2;SH2
0; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-00:10;897;17;;;4;
1; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-00:20;877;12;;;4;
2; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-00:30;871;11;;;4;
3; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-00:40;886;11;;;4;
4; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-00:50;905;12;;;4;
5; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:00;904;11;;;3;
6; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:10;907;14;;;4;
7; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:20;890;11;;;4;
8; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:30;886;11;;;4;
9; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:40;879;11;;;4;
10; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-01:50;861;7;;;4;
11; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:00;873;7;;;4;
12; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:10;858;14;;;4;
13; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:20;866;13;;;4;
14; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:30;879;9;;;4;
15; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:40;886;8;;;4;
16; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-02:50;868;6;;;4;
17; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:00;863;5;;;4;
18; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:10;878;7;;;4;
19; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:20;877;6;;;4;
20; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:30;871;6;;;4;
21; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:40;882;6;;;4;
22; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-03:50;883;6;;;4;
23; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:00;878;6;;;4;
24; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:10;869;8;;;4;
25; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:20;882;8;;;4;
26; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:30;871;8;;;3;
27; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:40;888;9;;;4;
28; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-04:50;890;9;;;4;
29; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:00;908;8;;;4;
30; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:10;897;11;;;4;
31; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:20;908;12;;;4;
32; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:30;911;13;;;4;
33; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:40;921;16;;;4;
34; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-05:50;913;20;;;4;
35; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:00;927;21;;;4;
36; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:10;916;24;;;4;
37; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:20;922;28;;;4;
38; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:30;943;28;;;4;
39; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:40;956;31;;;4;
40; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-06:50;988;45;;;4;
41; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:00;1007;49;;;4;
42; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:10;997;53;;;4;
43; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:20;983;49;;;4;
44; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:30;993;48;;;4;
45; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:40;1024;51;;;4;
46; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-07:50;1021;48;;;4;
47; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:00;1164;60;;;5;
48; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:10;1088;58;;;4;
49; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:20;1018;50;;;4;
50; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:30;1140;39;;;4;
51; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:40;1144; ;;;4;
52; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-08:50;1008; ;;;3;
53; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:00;1019; ;;;2;
54; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:10;961; ;;;3;
55; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:20;977; ;;;3;
56; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:30;947; ;;;4;
57; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:40;911; ;;;3;
58; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-09:50;909; ;;;4;
59; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:00;905; ;;;3;
60; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:10;906; ;;;3;
61; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:20;907; ;;;2;
62; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:30;904; ;;;3;
63; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:40;903; ;;;4;
64; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-10:50;955; ;;;4;
65; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:00;938; ;;;3;
66; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:10;938; ;;;2;
67; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:20;922; ;;;3;
68; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:30;923; ;;;3;
69; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:40; ; ;;;2;
70; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-11:50; ; ;;;3;
71; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:00; ; ;;;3;
72; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:10; ; ;;;2;
73; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:20; ; ;;;2;
74; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:30; ; ;;;2;
75; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:40; ; ;;;4;
76; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-12:50; ; ;;;4;
77; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:00; ; ;;;3;
78; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:10; ; ;;;4;
79; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:20; ; ;;;4;
80; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:30; ; ;;;3;
81; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:40; ; ;;;4;
82; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-13:50; ; ;;;4;
83; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:00; ; ;;;4;
84; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:10; ; ;;;4;
85; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:20; ; ;;;4;
86; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:30; ; ;;;3;
87; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:40; ; ;;;4;
88; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-14:50; ; ;;;4;
89; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-15:00; ; ;;;3;
90; SEVILLA; SEVILLA; Avd. ANDALUCIA;  RANILLA;15/03/21-15:10; ; ;;;4;
